公司名稱,公司簡稱
勝一化工股份有限公司,勝一
展宇科技材料股份有限公司,展宇
和康生物科技股份有限公司,和康生
科妍生物科技股份有限公司,科妍
台灣神隆股份有限公司,神隆
美時化學製藥股份有限公司,美時
台灣玻璃工業股份有限公司,台玻
寶徠建設股份有限公司,寶徠
冠軍建材股份有限公司,冠軍
潤隆建設股份有限公司,潤隆
中國製釉股份有限公司,中釉
和成欣業股份有限公司,和成
凱撒衛浴股份有限公司,凱撒衛
士林紙業股份有限公司,士紙
正隆股份有限公司,正隆
中華紙漿股份有限公司,華紙
寶隆國際股份有限公司,寶隆
永豐餘投資控股股份有限公司,永豐餘
榮成紙業股份有限公司,榮成
中國鋼鐵股份有限公司,中鋼
東和鋼鐵企業股份有限公司,東和鋼鐵
燁興企業股份有限公司,燁興
高興昌鋼鐵股份有限公司,高興昌
第一伸銅科技股份有限公司,第一銅
春源鋼鐵工業股份有限公司,春源
春雨工廠股份有限公司,春雨
中國鋼鐵結構股份有限公司,中鋼構
中鴻鋼鐵股份有限公司,中鴻
豐興鋼鐵股份有限公司,豐興
官田鋼鐵股份有限公司,官田鋼
美亞鋼管廠股份有限公司,美亞
聚亨企業股份有限公司,聚亨
燁輝企業股份有限公司,燁輝
志聯工業股份有限公司,志聯
千興不銹鋼(股)公司,千興
大成不銹鋼工業股份有限公司,大成鋼
威致鋼鐵工業股份有限公司,威致
盛餘股份有限公司,盛餘
彰源企業股份有限公司,彰源
新光鋼鐵股份有限公司,新光鋼
新鋼工業股份有限公司,新鋼
佳大世界股份有限公司,佳大
允強實業股份有限公司,允強
海光企業股份有限公司,海光
上銀科技股份有限公司,上銀
川湖科技股份有限公司,川湖
橋椿金屬股份有限公司,橋椿
運錩鋼鐵股份有限公司,運錩
南港輪胎股份有限公司,南港
泰豐輪胎股份有限公司,泰豐
台橡股份有限公司,台橡
國際中橡投資控股股份有限公司,國際中橡
正新橡膠工業股份有限公司,正新
建大工業股份有限公司,建大
厚生股份有限公司,厚生
南帝化學工業股份有限公司,南帝
華豐橡膠工業股份有限公司,華豐
鑫永銓股份有限公司,鑫永銓
六暉控股股份有限公司,六暉-KY
裕隆汽車製造股份有限公司,裕隆
中華汽車工業股份有限公司,中華
三陽工業股份有限公司,三陽工業
和泰汽車股份有限公司,和泰車
台灣國際造船股份有限公司,台船
長榮鋼鐵股份有限公司,長榮鋼
裕隆日產汽車股份有限公司,裕日車
劍麟股份有限公司,劍麟
為升電裝工業股份有限公司,為升
宇隆科技股份有限公司,宇隆
百達精密工業股份有限公司,百達-KY
開曼英利工業股份有限公司,英利-KY
艾姆勒車電股份有限公司,艾姆勒
宏旭控股股份有限公司,宏旭-KY
汎德永業汽車股份有限公司,汎德永業
第一化成控股(開曼)股份有限公司,IKKA-KY
光寶科技股份有限公司,光寶科
麗正國際科技股份有限公司,麗正
聯華電子股份有限公司,聯電
全友電腦股份有限公司,全友
台達電子工業股份有限公司,台達電
金寶電子工業股份有限公司,金寶
華通電腦股份有限公司,華通
台揚科技股份有限公司,台揚
楠梓電子股份有限公司,楠梓電
鴻海精密工業股份有限公司,鴻海
東訊股份有限公司,東訊
中環股份有限公司,中環
仁寶電腦工業股份有限公司,仁寶
國巨股份有限公司,國巨
廣宇科技股份有限公司,廣宇
華泰電子股份有限公司,華泰
台灣積體電路製造股份有限公司,台積電
精英電腦股份有限公司,精英
友訊科技股份有限公司,友訊
旺宏電子股份有限公司,旺宏
台灣光罩股份有限公司,光罩
台亞半導體股份有限公司,台亞
台灣茂矽電子股份有限公司,茂矽
華邦電子股份有限公司,華邦電
智邦科技股份有限公司,智邦
聯強國際股份有限公司,聯強
海悅國際開發股份有限公司,海悅
錸德科技股份有限公司,錸德
順德工業股份有限公司,順德
佳世達科技股份有限公司,佳世達
宏碁股份有限公司,宏碁
鴻準精密工業股份有限公司,鴻準
敬鵬工業股份有限公司,敬鵬
英業達股份有限公司,英業達
華碩電腦股份有限公司,華碩
廷鑫興業股份有限公司,廷鑫
所羅門股份有限公司,所羅門
致茂電子股份有限公司,致茂
藍天電腦股份有限公司,藍天
矽統科技股份有限公司,矽統
倫飛電腦實業股份有限公司,倫飛
昆盈企業股份有限公司,昆盈
燿華電子股份有限公司,燿華
金像電子(股)公司,金像電
菱生精密工業股份有限公司,菱生
大同股份有限公司,大同
震旦行股份有限公司,震旦行
佳能企業股份有限公司,佳能
凱美電機股份有限公司,凱美
技嘉科技股份有限公司,技嘉
微星科技股份有限公司,微星
瑞昱半導體股份有限公司,瑞昱
虹光精密工業股份有限公司,虹光
廣達電腦股份有限公司,廣達
台光電子材料股份有限公司,台光電
群光電子股份有限公司,群光
精元電腦股份有限公司,精元
威盛電子股份有限公司,威盛
云辰電子開發股份有限公司,云辰
正崴精密工業股份有限公司,正崴
億光電子工業股份有限公司,億光
研華股份有限公司,研華
友通資訊股份有限公司,友通
映泰股份有限公司,映泰
凌陽科技股份有限公司,凌陽
毅嘉科技股份有限公司,毅嘉
漢唐集成股份有限公司,漢唐
浩鑫股份有限公司,浩鑫
國碩科技工業股份有限公司,國碩
南亞科技股份有限公司,南亞科
友達光電股份有限公司,友達
中華電信股份有限公司,中華電
環隆科技股份有限公司,環科
精技電腦股份有限公司,精技
錩新科技股份有限公司,錩新
圓剛科技股份有限公司,圓剛
仲琦科技股份有限公司,仲琦
新巨企業股份有限公司,新巨
建準電機工業股份有限公司,建準
固緯電子實業股份有限公司,固緯
隴華電子股份有限公司,隴華
承啟科技股份有限公司,承啟
鼎元光電科技股份有限公司,鼎元
三商電腦股份有限公司,三商電
興勤電子工業股份有限公司,興勤
銘旺科技股份有限公司,銘旺科
燦坤實業股份有限公司,燦坤
聯昌電子企業股份有限公司,聯昌
互盛股份有限公司,互盛電
統懋半導體股份有限公司,統懋
偉詮電子股份有限公司,偉詮電
翔耀實業股份有限公司,翔耀
美律實業股份有限公司,美律
太空梭高傳真資訊科技(股)公司,太空梭
超豐電子股份有限公司,超豐
新美齊股份有限公司,新美齊
昶虹國際股份有限公司,昶虹
兆勁科技股份有限公司,兆勁
京元電子股份有限公司,京元電子
神腦國際企業股份有限公司,神腦
創見資訊股份有限公司,創見
凌群電腦股份有限公司,凌群
聯發科技股份有限公司,聯發科
全新光電科技股份有限公司,全新
飛宏科技股份有限公司,飛宏
義隆電子股份有限公司,義隆
敦吉科技股份有限公司,敦吉
建通精密工業股份有限公司,建通
光群雷射科技股份有限公司,光群雷
台灣良得電子股份有限公司,良得電
盟立自動化股份有限公司,盟立
麗臺科技股份有限公司,麗臺
冠西電子企業股份有限公司,冠西電
志聖工業股份有限公司,志聖
華經資訊企業股份有限公司,華經
資通電腦股份有限公司,資通
立隆電子工業股份有限公司,立隆電
可成科技股份有限公司,可成
鉅祥企業股份有限公司,鉅祥
美隆工業股份有限公司,美隆電
大毅科技股份有限公司,大毅
敦陽科技股份有限公司,敦陽科
強茂股份有限公司,強茂
連宇股份有限公司,連宇
百容電子股份有限公司,百容
希華晶體科技股份有限公司,希華
兆赫電子股份有限公司,兆赫
一詮精密工業股份有限公司,一詮
漢平電子工業股份有限公司,漢平
瑞軒科技股份有限公司,瑞軒
吉祥全球實業股份有限公司,吉祥全
華新科技股份有限公司,華新科
揚博科技股份有限公司,揚博
普安科技股份有限公司,普安
卓越成功股份有限公司,卓越
怡利電子工業股份有限公司,怡利電
宏達國際電子股份有限公司,宏達電
國泰建設股份有限公司,國建
國產建材實業股份有限公司,國產
國揚實業股份有限公司,國揚
太平洋建設股份有限公司,太設
全坤建設開發股份有限公司,全坤建
太子建設開發股份有限公司,太子
龍邦國際興業股份有限公司,龍邦
中華工程股份有限公司,中工
新亞建設開發股份有限公司,新建
冠德建設股份有限公司,冠德
京城建設股份有限公司,京城
宏璟建設股份有限公司,宏璟
皇普建設股份有限公司,皇普
大華建設股份有限公司,華建
宏盛建設股份有限公司,宏盛
達欣工程股份有限公司,達欣工
宏普建設股份有限公司,宏普
聯上開發股份有限公司,聯上發
基泰建設股份有限公司,基泰
櫻花建設股份有限公司,櫻花建
愛山林建設開發股份有限公司,愛山林
興富發建設股份有限公司,興富發
皇昌營造股份有限公司,皇昌
皇翔建設股份有限公司,皇翔
根基營造股份有限公司,根基
日勝生活科技股份有限公司,日勝生
華固建設股份有限公司,華固
潤弘精密工程事業股份有限公司,潤弘
益航股份有限公司,益航
長榮海運股份有限公司,長榮
新興航運股份有限公司,新興
裕民航運股份有限公司,裕民
長榮國際儲運股份有限公司,榮運
嘉里大榮物流股份有限公司,嘉里大榮
陽明海運股份有限公司,陽明
中華航空股份有限公司,華航
志信國際股份有限公司,志信
中國航運股份有限公司,中航
中國貨櫃運輸股份有限公司,中櫃
東森國際股份有限公司,東森
萬海航運股份有限公司,萬海
山隆通運股份有限公司,山隆
台灣航業股份有限公司,台航
長榮航空股份有限公司,長榮航
亞洲航空股份有限公司,亞航
台灣高速鐵路股份有限公司,台灣高鐵
漢翔航空工業股份有限公司,漢翔
台驊國際投資控股股份有限公司,台驊投控
慧洋海運股份有限公司,慧洋-KY
台灣宅配通股份有限公司,宅配通
萬華企業股份有限公司,萬企
華園飯店股份有限公司,華園
國賓大飯店股份有限公司,國賓
六福開發股份有限公司,六福
第一華僑大飯店股份有限公司,第一店
晶華國際酒店股份有限公司,晶華
遠雄悅來大飯店股份有限公司,遠雄來
夏都國際開發股份有限公司,夏都
開曼美食達人股份有限公司,美食-KY
王品餐飲股份有限公司,王品
雄獅旅行社股份有限公司,雄獅
寒舍餐旅管理顧問股份有限公司,寒舍
雲品國際酒店股份有限公司,雲品
