公司名稱,公司簡稱
和椿科技股份有限公司,和椿
居易科技股份有限公司,居易
聚鼎科技股份有限公司,聚鼎
天瀚科技股份有限公司,天瀚
光鼎電子股份有限公司,光鼎
尼得科超眾科技股份有限公司,尼得科超眾
華孚科技股份有限公司,華孚
力成科技股份有限公司,力成
迅杰科技股份有限公司,迅杰
定穎電子股份有限公司,定穎
矽格股份有限公司,矽格
台郡科技股份有限公司,台郡
同欣電子工業股份有限公司,同欣電
宏正自動科技股份有限公司,宏正
台灣表面黏著科技股份有限公司,台表科
全國電子股份有限公司,全國電
康舒科技股份有限公司,康舒
淳安電子股份有限公司,淳安
啟碁科技股份有限公司,啟碁
聯嘉光電股份有限公司,聯嘉
華上光電股份有限公司,華上
悅城科技股份有限公司,悅城
旭隼科技股份有限公司,旭隼
群光電能科技股份有限公司,群電
樺漢科技股份有限公司,樺漢
矽力杰股份有限公司,矽力-KY
瑞祺電通股份有限公司,瑞祺電通
統新光訊股份有限公司,統新
光麗生技控股股份有限公司,光麗-KY
迅得機械股份有限公司,迅得
光紅建聖股份有限公司,光聖
元晶太陽能科技股份有限公司,元晶
鈺邦科技股份有限公司,鈺邦
訊芯科技控股股份有限公司,訊芯-KY
GIS Holding Limited,GIS-KY
台灣數位光訊科技股份有限公司,台數科
安集科技股份有限公司,安集
晶碩光學股份有限公司,晶碩
南六企業股份有限公司,南六
台塑石化股份有限公司,台塑化
穎崴科技股份有限公司,穎崴
捷敏股份有限公司,捷敏-KY
愛普科技股份有限公司,愛普*
晶心科技股份有限公司,晶心科
泰福生技股份有限公司,泰福-KY
易華電子股份有限公司,易華電
興能高科技股份有限公司,興能高
虹揚發展科技股份有限公司,虹揚-KY
研揚科技股份有限公司,研揚
台灣鋼聯股份有限公司,鋼聯
申豐特用應材股份有限公司,申豐
鼎基先進材料股份有限公司,鼎基
動力科技股份有限公司,動力-KY
和潤企業股份有限公司,和潤企業
Applied BioCode Corporation,ABC-KY
帝寶工業股份有限公司,帝寶
必應創造股份有限公司,必應
基士德科技股份有限公司,基士德-KY
科定企業股份有限公司,科定
羅麗芬控股股份有限公司,羅麗芬-KY
中揚光電股份有限公司,中揚光
緯穎科技服務股份有限公司,緯穎
復盛應用科技股份有限公司,復盛應用
三能集團控股股份有限公司,三能-KY
騰輝電子國際集團股份有限公司,騰輝電子-KY
鋐寶科技股份有限公司,鋐寶科技
洋基工程股份有限公司,洋基工程
旭暉應用材料股份有限公司,旭暉應材
惠特科技股份有限公司,惠特
嘉基科技股份有限公司,嘉基
力智電子股份有限公司,力智
安普新股份有限公司,安普新
匯僑室內裝修設計股份有限公司,匯僑設計
威鋒電子股份有限公司,威鋒電子
志強國際企業股份有限公司,志強-KY
力晶積成電子製造股份有限公司,力積電
展碁國際股份有限公司,展碁國際
"AES Holding Co., Ltd.",AES-KY
永豐餘消費品實業股份有限公司,永豐實
詠業科技股份有限公司,詠業
來頡科技股份有限公司,來頡
森崴能源股份有限公司,森崴能源
峰源集團股份有限公司,峰源-KY
台通光電股份有限公司,台通
矽創電子股份有限公司,矽創
尖點科技股份有限公司,尖點
昇陽國際半導體股份有限公司,昇陽半導體
雷虎科技股份有限公司,雷虎
台虹科技股份有限公司,台虹
南亞電路板股份有限公司,南電
長華電材股份有限公司,長華*
陞泰科技股份有限公司,陞泰
致新科技股份有限公司,致新
華冠通訊股份有限公司,華冠
瀚荃股份有限公司,瀚荃
錸寶科技股份有限公司,錸寶
凌巨科技股份有限公司,凌巨
華東科技股份有限公司,華東
至上電子股份有限公司,至上
振樺電子股份有限公司,振樺電
福懋科技股份有限公司,福懋科
南茂科技股份有限公司,南茂
達方電子股份有限公司,達方
無敵科技股份有限公司,無敵
勤誠興業股份有限公司,勤誠
志超科技股份有限公司,志超
明基材料股份有限公司,明基材
寶一科技股份有限公司,寶一
菱光科技股份有限公司,菱光
富鼎先進電子股份有限公司,富鼎
宇瞻科技股份有限公司,宇瞻
日友環保科技股份有限公司,日友
建新國際股份有限公司,建新國際
羅昇企業股份有限公司,羅昇
百和興業股份有限公司(開曼),百和興業-KY
福貞控股股份有限公司,福貞-KY
可寧衛股份有限公司,可寧衛
金麗集團控股有限公司,金麗-KY
昶昕實業股份有限公司,昶昕
威宏控股股份有限公司,威宏-KY
阿瘦實業股份有限公司,阿瘦
富邦媒體科技股份有限公司,富邦媒
柏文健康事業股份有限公司,柏文
潤泰精密材料股份有限公司,潤泰材
億豐綜合工業股份有限公司,億豐
美吉吉國際股份有限公司,美吉吉-KY
波力環球企業股份有限公司,波力-KY
山林水環境工程股份有限公司,山林水
東哥企業股份有限公司,東哥遊艇
泰昇國際(控股)有限公司,泰昇-KY
政伸企業股份有限公司,政伸
商億全球控股有限公司,商億-KY
吉源控股股份有限公司,吉源-KY
鼎炫投資控股股份有限公司,鼎炫-KY
台灣汽電共生股份有限公司,台汽電
新天地國際實業股份有限公司,新天地
高力熱處理工業股份有限公司,高力
美德向邦醫療國際股份有限公司,美德醫療-DR
康師傅控股有限公司,康師傅-DR
泰金寶科技股份有限公司,泰金寶-DR
神州數碼控股有限公司,神州-DR
越南製造加工出口控股有限公司,越南控-DR
明輝環球企業有限公司,明輝-DR
聚亨企業集團(泰國)大眾有限公司,泰聚亨-DR
同方友友控股有限公司,同方友友-DR
晨訊科技集團有限公司,晨訊科-DR
巨騰國際控股有限公司,巨騰-DR
鈺齊國際股份有限公司,鈺齊-KY
台火開發股份有限公司,台火
寶成工業股份有限公司,寶成
大華金屬工業股份有限公司,大華
欣巴巴事業股份有限公司,欣巴巴
統一實業股份有限公司,統一實
大台北區瓦斯股份有限公司,大台北
豐泰企業股份有限公司,豐泰
台灣櫻花股份有限公司,櫻花
偉聯科技股份有限公司,偉聯
美利達工業股份有限公司,美利達
中興保全科技股份有限公司,中保科
欣欣天然氣股份有限公司,欣天然
康那香企業股份有限公司,康那香
巨大機械工業股份有限公司,巨大
台灣福興工業股份有限公司,福興
台灣新光保全股份有限公司,新保
新海瓦斯股份有限公司,新海
泰銘實業股份有限公司,泰銘
中國電視事業股份有限公司,中視
秋雨創新股份有限公司,秋雨
中聯資源股份有限公司,中聯資源
欣高石油氣股份有限公司,欣高
中鼎工程股份有限公司,中鼎
成霖企業股份有限公司,成霖
慶豐富實業股份有限公司,慶豐富
全國加油站股份有限公司,全國
台灣百和工業股份有限公司,百和
宏全國際股份有限公司,宏全
信義房屋股份有限公司,信義
裕融企業股份有限公司,裕融
茂順密封元件科技股份有限公司,茂順
好樂迪股份有限公司,好樂迪
新麗企業股份有限公司,新麗
潤泰創新國際股份有限公司,潤泰新
三發地產股份有限公司(原:金革),三發地產
佳龍科技工程股份有限公司,佳龍
世紀鋼鐵結構股份有限公司,世紀鋼
茂生農經股份有限公司,茂生農經
其祥生物科技控股有限公司,其祥-KY
安心食品服務股份有限公司,安心
德麥食品股份有限公司,德麥
漢來美食股份有限公司,漢來美食
台翰精密科技股份有限公司,台翰
精華光學股份有限公司,精華
濱川企業股份有限公司,濱川
力肯實業股份有限公司,力肯
新麥企業股份有限公司,新麥
精剛精密科技股份有限公司,精剛
和勤精機股份有限公司,和勤
英屬開曼群島商駿吉控股(股)公司,駿吉-KY
祺驊股份有限公司,祺驊
川寶科技股份有限公司,川寶
宏佳騰動力科技股份有限公司,宏佳騰
台灣蠟品股份有限公司,台蠟
生泰合成工業股份有限公司,生泰
合世生醫科技股份有限公司,合世
訊聯生物科技股份有限公司,訊聯
光洋應用材料科技股份有限公司,光洋科
杏昌生技股份有限公司,杏昌
金穎生物科技股份有限公司,金穎生技
易威生醫科技股份有限公司,易威
寶利徠光學科技股份有限公司,寶利徠
富喬工業股份有限公司,富喬
唐榮鐵工廠股份有限公司,唐榮公司
風青實業股份有限公司,風青
世鎧精密股份有限公司,世鎧
晉椿工業股份有限公司,晉椿
世豐螺絲股份有限公司,世豐
世德工業股份有限公司,世德
嘉鋼精密工業股份有限公司,嘉鋼
精湛光學科技股份有限公司,精湛
大甲永和機械工業股份有限公司,大甲
泰茂實業股份有限公司,泰茂
謚源實業股份有限公司,謚源
綠意開發股份有限公司,綠意
台灣大車隊股份有限公司,大車隊
正德海運股份有限公司,正德
捷迅股份有限公司,捷迅
晶悅國際飯店股份有限公司,晶悅
燦星國際旅行社股份有限公司,燦星旅
富驛酒店集團有限公司,富驛-KY
雅茗天地股份有限公司,雅茗-KY
瓦城泰統股份有限公司,瓦城
六角國際事業股份有限公司,六角
易飛網國際旅行社股份有限公司,易飛網
富野大飯店股份有限公司,富野
天蔥國際股份有限公司,天蔥
山富國際旅行社股份有限公司,山富
五福旅行社股份有限公司,五福
豆府股份有限公司,豆府
亞洲藏壽司股份有限公司,亞洲藏壽司
揚秦國際企業股份有限公司,揚秦
聯發國際餐飲事業股份有限公司,聯發國際
滿心企業股份有限公司,滿心
開曼東凌股份有限公司,東凌-KY
誠品生活股份有限公司,誠品生活
集雅社股份有限公司,集雅社
振宇五金股份有限公司,振宇五金
泰偉電子股份有限公司,泰偉
李洲科技股份有限公司,李洲
全域股份有限公司,全域
協禧電機股份有限公司,協禧
天方能源科技股份有限公司,天方能源
僑威科技股份有限公司,僑威
聯亞光電工業股份有限公司,聯亞
中華網龍股份有限公司,網龍
創新新零售股份有限公司,新零售
華義國際數位娛樂股份有限公司,華義
艾訊股份有限公司,艾訊
億杰科技股份有限公司,億杰
台灣港建股份有限公司,港建
及成企業股份有限公司,及成
穩懋半導體股份有限公司,穩懋
好德科技股份有限公司,好德
富育榮綱股份有限公司,富榮綱
進階生物科技股份有限公司,進階
笙泉科技股份有限公司,笙泉
昇銳電子股份有限公司,昇銳
弘塑科技股份有限公司,弘塑
晶宏半導體股份有限公司,晶宏
大綜電腦系統股份有限公司,大綜
璟德電子工業股份有限公司,璟德
精確實業股份有限公司,精確
波若威科技股份有限公司,波若威
亞信電子股份有限公司,亞信
新洲全球股份有限公司,新洲
基亞生物科技股份有限公司,基亞
公準精密工業股份有限公司,公準
鑫龍騰開發股份有限公司,鑫龍騰
和進電子股份有限公司,和進
樺晟電子股份有限公司,樺晟
佰研生化科技股份有限公司,佰研
志豐電子股份有限公司,志豐
耀勝電子股份有限公司,耀勝
順達科技股份有限公司,順達
茂訊電腦股份有限公司,茂訊
優群科技股份有限公司,優群
大學光學科技股份有限公司,大學光
倚強科技股份有限公司,倚強科
台灣嘉碩科技股份有限公司,台嘉碩
三顧股份有限公司,三顧
至寶光電股份有限公司,至寶電
原相科技股份有限公司,原相
金麗科技股份有限公司,金麗科
錦明實業股份有限公司,錦明
昱捷股份有限公司,昱捷
光環科技股份有限公司,光環
千如電機工業股份有限公司,千如
海灣國際開發(股)公司,海灣
鑫創科技股份有限公司,鑫創
威剛科技股份有限公司,威剛
欣銓科技股份有限公司,欣銓
台星科股份有限公司,台星科
海德威電子工業股份有限公司,海德威
東碩資訊股份有限公司,東碩
宇環科技股份有限公司,宇環
太普高精密影像股份有限公司,太普高
微端科技股份有限公司,微端
廣寰科技股份有限公司,廣寰科
點晶科技股份有限公司,點晶
宜特科技股份有限公司,宜特
東浦精密光電股份有限公司,東浦
鈊象電子股份有限公司,鈊象
英濟股份有限公司,英濟
杭特電子股份有限公司,杭特
岱稜科技股份有限公司,岱稜
鼎天國際股份有限公司,鼎天
佳穎精密企業股份有限公司,佳穎
斐成企業股份有限公司,斐成
尼克森微電子股份有限公司,尼克森
建舜電子製造股份有限公司,建舜電
加百裕工業股份有限公司,加百裕
雙鴻科技股份有限公司,雙鴻
旭品科技股份有限公司,旭品
幸康電子股份有限公司,幸康
泰谷光電科技股份有限公司,泰谷
寶德科技股份有限公司,寶德
律勝科技股份有限公司,律勝
西北臺慶科技股份有限公司,臺慶科
尚立股份有限公司,尚立
先進光電科技股份有限公司,先進光
上詮光纖通信股份有限公司,上詮
台灣典範半導體股份有限公司,典範
熱映光電股份有限公司,熱映
精材科技股份有限公司,精材
彬台科技股份有限公司,彬台
崇越電通股份有限公司,崇越電
旭軟電子科技股份有限公司,旭軟
漢科系統科技股份有限公司,漢科
台興電子企業股份有限公司,台興
哲固資訊科技股份有限公司,哲固
台灣類比科技股份有限公司,類比科
聯一光電股份有限公司,聯一光電
利機企業股份有限公司,利機
由田新技股份有限公司,由田
進泰電子科技股份有限公司,進泰電子
致振企業股份有限公司,致振
安勤科技股份有限公司,安勤
力致科技股份有限公司,力致
崧騰企業股份有限公司,崧騰
森寶開發股份有限公司,森寶
單井工業股份有限公司,單井
昇達科技股份有限公司,昇達科
長盛科技股份有限公司,長盛
陽程科技股份有限公司,陽程
環天世通科技股份有限公司,環天科
位速科技股份有限公司,位速
矽瑪科技股份有限公司,矽瑪
皇龍開發股份有限公司,皇龍
亞帝歐光電股份有限公司,亞帝歐
華盈電子股份有限公司,華盈
鴻翊國際股份有限公司,鴻翊
御頂國際股份有限公司,御頂
迎輝科技股份有限公司,迎輝
凡甲科技股份有限公司,凡甲
聚積科技股份有限公司,聚積
力旺電子股份有限公司,力旺
先益電子工業股份有限公司,先益
堡達實業股份有限公司,堡達
曜越科技股份有限公司,曜越
西柏科技股份有限公司,西柏
宇峻奧汀科技股份有限公司,宇峻
兆利科技工業股份有限公司,兆利
世禾科技股份有限公司,世禾
同致電子企業股份有限公司,同致
重鵬生技股份有限公司,重鵬
禾瑞亞科技股份有限公司,禾瑞亞
神準科技股份有限公司,神準
其陽科技股份有限公司,其陽
逸昌科技股份有限公司,逸昌
大塚資訊科技股份有限公司,大塚
泓格科技股份有限公司,泓格
友威科技股份有限公司,友威科
博磊科技股份有限公司,博磊
閎康科技股份有限公司,閎康
磐儀科技股份有限公司,磐儀
映興電子股份有限公司,映興
三一東林科技股份有限公司,三一東林
鼎翰科技股份有限公司,鼎翰
安可光電股份有限公司,安可
富晶通科技股份有限公司,富晶通
光頡科技股份有限公司,光頡
西勝國際股份有限公司,西勝
盈正豫順電子股份有限公司,盈正
地心引力股份有限公司,地心引力
新鉅科技股份有限公司,新鉅科
晟楠科技股份有限公司,晟楠
研勤科技股份有限公司,研勤
駿熠電子科技股份有限公司,駿熠電
艾恩特精密工業股份有限公司,艾恩特
精聯電子股份有限公司,精聯
鑫科材料科技股份有限公司,鑫科
安瑞科技股份有限公司,安瑞-KY
光耀科技股份有限公司,光耀
康聯訊科技股份有限公司,康聯訊
德微科技股份有限公司,德微
家登精密工業股份有限公司,家登
榮昌科技股份有限公司,榮昌
元創精密車業股份有限公司,元創精密
茂為歐買尬數位科技股份有限公司,歐買尬
湧德電子股份有限公司,湧德
碩禾電子材料股份有限公司,碩禾
營邦企業股份有限公司,營邦
漢磊科技股份有限公司,漢磊
鑫聯大投資控股股份有限公司,鑫聯大投控
連展投資控股股份有限公司,連展投控
新晶投資控股股份有限公司,新晶投控
永日化學工業股份有限公司,永日
台灣東洋藥品工業股份有限公司,東洋
邦特生物科技股份有限公司,邦特
加捷生醫股份有限公司,加捷生醫
濟生醫藥生技股份有限公司,濟生
聯上實業股份有限公司,聯上
健喬信元醫藥生技股份有限公司,健喬
明基三豐醫療器材股份有限公司,明基醫
友華生技醫藥股份有限公司,友華
優盛醫學科技股份有限公司,優盛
晟德大藥廠股份有限公司,晟德
太平洋醫材股份有限公司,太醫
天良生物科技企業股份有限公司,天良
中天生物科技股份有限公司,中天
聯合骨科器材股份有限公司,聯合
健亞生物科技股份有限公司,健亞
晶宇生物科技實業股份有限公司,晶宇
曜亞國際股份有限公司,曜亞
馬光保健控股股份有限公司,馬光-KY
中裕新藥股份有限公司,中裕
鈺緯科技開發股份有限公司,鈺緯
樂威科股份有限公司,樂威科-KY
太景醫藥研發控股股份有限公司,太景*-KY
創源生物科技股份有限公司,創源
聿新生物科技股份有限公司,聿新科
智擎生技製藥股份有限公司,智擎
鐿鈦科技股份有限公司,鐿鈦
松瑞製藥股份有限公司,松瑞藥
台灣醣聯生技醫藥股份有限公司,醣聯
瑞基海洋生物科技股份有限公司,瑞基
久裕企業股份有限公司,久裕
台灣浩鼎生技股份有限公司,浩鼎
杏一醫療用品股份有限公司,杏一
福永生物科技股份有限公司,福永生技
安克生醫股份有限公司,安克
杏國新藥股份有限公司,杏國
欣大健康投資控股股份有限公司,欣大健康
中華食品實業股份有限公司,中華食
環泰企業股份有限公司,環泰
信立化學工業股份有限公司,信立
勝昱科技股份有限公司,勝昱
世坤塑膠股份有限公司,世坤
東隆興業股份有限公司,東隆興
福大材料科技股份有限公司,福大
新昕纖維股份有限公司,新昕纖
飛寶企業股份有限公司,飛寶企業
三圓建設股份有限公司,三圓
金洲海洋科技股份有限公司,金洲
元勝國際實業股份有限公司,元勝
光明絲織廠股份有限公司,光明
聚紡股份有限公司,聚紡
耀億工業股份有限公司,耀億
銘旺實業股份有限公司,銘旺實
興采實業股份有限公司,興采
健信科技工業股份有限公司,健信
金雨企業股份有限公司,金雨
崇友實業(股)公司,崇友
高鋒工業股份有限公司,高鋒
福裕事業股份有限公司,福裕
永彰機電股份有限公司,永彰
(方方土)霖冷凍機械股份有限公司,方方土霖
江興鍛壓工業股份有限公司,江興鍛
淳紳股份有限公司,淳紳
宏易創新國際股份有限公司,宏易
協易機械工業股份有限公司,協易機
慶騰精密科技股份有限公司,慶騰
至興精機股份有限公司,至興
大詠城機械股份有限公司,大詠城
晟田科技工業股份有限公司,晟田
科嶠工業股份有限公司,科嶠
萬在工業股份有限公司,萬在
桓達科技股份有限公司,桓達
長佳機電工程股份有限公司,長佳
橙的電子股份有限公司,橙的
旭然國際股份有限公司,旭然
寶緯工業股份有限公司,寶緯
健椿工業股份有限公司,健椿
百德機械股份有限公司,百德
科際精密股份有限公司,科際精密
捷流閥業股份有限公司,捷流閥業
唐鋒實業股份有限公司,唐鋒
中美聯合實業股份有限公司,中美實
大恭化學工業股份有限公司,大恭
磐亞股份有限公司,磐亞
永純化學工業股份有限公司,永純
南璋股份有限公司,南璋
永捷創新科技股份有限公司,永捷
大立高分子工業股份有限公司,大立
美琪瑪國際股份有限公司,美琪瑪
永昕生物醫藥股份有限公司,永昕
雙美生物科技股份有限公司,雙美
熒茂光學股份有限公司,熒茂
豪展醫療科技股份有限公司,豪展
泰博科技股份有限公司,泰博
泓瀚科技股份有限公司,泓瀚
合一生技股份有限公司,合一
皇將科技股份有限公司,皇將
合富醫療控股股份有限公司,合富-KY
強生化學製藥廠股份有限公司,強生
國碳科技股份有限公司,國碳科
勤凱科技股份有限公司,勤凱科技
誠泰工業科技股份有限公司,誠泰科技
晶呈科技股份有限公司,晶呈科技
大略國際控股有限公司,大略-KY
昇華娛樂傳播股份有限公司,昇華
聯合光纖通信股份有限公司,聯光通
台聯電訊股份有限公司,台聯電
富宇地產股份有限公司,富宇
前鼎光電股份有限公司,前鼎
新復興微波通訊股份有限公司,新復興
德英生物科技股份有限公司,德英
力士科技股份有限公司,力士
欣厚科技股份有限公司,欣厚-KY
新盛力科技股份有限公司,新盛力
友輝光電股份有限公司,友輝
亞洲電材股份有限公司,亞電
兆遠科技股份有限公司,兆遠
陞達科技股份有限公司,陞達科技
紅心辣椒娛樂科技股份有限公司,辣椒
牧東光電股份有限公司,牧東
緯創軟體股份有限公司,緯軟
譜瑞科技股份有限公司,譜瑞-KY
英特磊科技股份有限公司,IET-KY
湯石照明科技股份有限公司,湯石照明
廣穎電通股份有限公司,廣穎電通
亞泰影像科技股份有限公司,亞泰
華星光通科技股份有限公司,華星光
科誠股份有限公司,科誠
環宇通訊半導體控股股份有限公司,環宇-KY
晶達光電股份有限公司,晶達
榮剛材料科技股份有限公司,榮剛
久陽精密股份有限公司,久陽
強新工業股份有限公司,強新
建錩實業股份有限公司,建錩
華祺工業股份有限公司,華祺
松和工業股份有限公司,松和
富強輪胎工廠股份有限公司,富強
凱衛資訊股份有限公司,凱衛
力新國際科技股份有限公司,力新
中茂能資系統整合科技(股)公司,中茂
坤悅開發股份有限公司,坤悅
新鼎系統股份有限公司,新鼎
寶碩財務科技股份有限公司,寶碩
蒙恬科技股份有限公司,蒙恬
凌網科技股份有限公司,凌網
亞昕國際開發股份有限公司,亞昕
萬達光電科技股份有限公司,萬達光電
安力國際股份有限公司,安力-KY
蓋曼立凱電能科技(股)公司,立凱-KY
雷笛克光學股份有限公司,雷笛克光學
凌陽創新科技股份有限公司,凌陽創新
智晶光電股份有限公司,智晶
天鉞電子股份有限公司,天鉞電
智崴資訊科技股份有限公司,智崴
笙科電子股份有限公司,笙科
信驊科技股份有限公司,信驊
達輝股份有限公司,達輝-KY
尚凡國際創新科技股份有限公司,尚凡
大峽谷半導體照明系統(開曼),大峽谷-KY
數字科技股份有限公司,數字
宜鼎國際股份有限公司,宜鼎
邑昇實業股份有限公司,邑昇
杰力科技股份有限公司,杰力
寶得利國際股份有限公司,寶得利
太欣半導體股份有限公司,太欣
系統電子工業股份有限公司,系統電
天剛資訊股份有限公司,天剛
寶島光學科技股份有限公司,寶島科
世紀民生科技股份有限公司,世紀
光聯科技股份有限公司,光聯
美而快國際股份有限公司,美而快
士林開發股份有限公司,士開
華容股份有限公司,華容
建榮工業材料股份有限公司,建榮
立衛科技股份有限公司,立衛
天揚精密科技股份有限公司,天揚
世界先進積體電路股份有限公司,世界
系通科技股份有限公司,系通
鈺創科技股份有限公司,鈺創
台林電通股份有限公司,台林
佳總興業股份有限公司,佳總
協益電子股份有限公司,協益
力麗觀光開發股份有限公司,力麗店
中強光電股份有限公司,中光電
合正科技股份有限公司,合正
金利精密工業股份有限公司,金利
青雲國際科技股份有限公司,青雲
能率創新股份有限公司,能率
慕康生技醫藥股份有限公司,慕康生醫
中菲電腦股份有限公司,中菲
國眾電腦股份有限公司,國眾
台灣半導體股份有限公司,台半
振發實業股份有限公司,振發
新門科技股份有限公司,新門
東友科技股份有限公司,東友
高技企業股份有限公司,高技
均豪精密工業股份有限公司,均豪
南良國際股份有限公司,南良
佶優科技股份有限公司,佶優
昇益開發股份有限公司,昇益
宣德科技股份有限公司,宣德
同協電子股份有限公司,同協
霖宏科技股份有限公司,霖宏
富驊企業股份有限公司,富驊
凱鈺科技股份有限公司,凱鈺
聰泰科技開發股份有限公司,聰泰
德宏工業股份有限公司,德宏
智冠科技股份有限公司,智冠
新華泰富股份有限公司,新華
中美矽晶製品股份有限公司,中美晶
通泰積體電路股份有限公司,通泰
松普科技股份有限公司,松普
彩富電子股份有限公司,彩富
同亨科技股份有限公司,同亨
三聯科技股份有限公司,三聯
凱崴電子股份有限公司,凱崴
永信建設開發股份有限公司,永信建
德昌營造股份有限公司,德昌
力麒建設股份有限公司,力麒
三豐建設股份有限公司,三豐
雙喜營造股份有限公司,雙喜
力泰建設企業股份有限公司,力泰
豐謙建設股份有限公司,豐謙
鉅陞國際開發股份有限公司,鉅陞
龍巖股份有限公司,龍巖
聖暉工程科技股份有限公司,聖暉
桓鼎股份有限公司,桓鼎-KY
臺聯貨櫃通運股份有限公司,台聯櫃
陸海股份有限公司,陸海
中連誠企業股份有限公司,中連
中菲行國際物流股份有限公司,中菲行
劍湖山世界股份有限公司,劍湖山
亞都麗緻大飯店股份有限公司,亞都麗緻
知本老爺大酒店股份有限公司,老爺知
日盛金融控股股份有限公司,日盛金
致和證券股份有限公司,致和證
台名保險經紀人股份有限公司,台名
德記洋行股份有限公司,德記
全家便利商店股份有限公司,全家
寶雅國際股份有限公司,寶雅
南仁湖育樂股份有限公司,南仁湖
宏遠證券股份有限公司,宏遠證
康和綜合證券股份有限公司,康和證
大展證券股份有限公司,大展證
美好證券股份有限公司,美好證
元大期貨股份有限公司,元大期貨
福邦證券股份有限公司,福邦證
寬魚國際股份有限公司,寬魚國際
合邦電子股份有限公司,合邦
創惟科技股份有限公司,創惟
亞元科技股份有限公司,亞元
大宇資訊股份有限公司,大宇資
亞矽科技股份有限公司,亞矽
久威國際股份有限公司,久威
建達國際股份有限公司,建達
新普科技股份有限公司,新普
擎邦國際科技工程股份有限公司,擎邦
上奇科技股份有限公司,上奇
業強科技股份有限公司,業強
廣運機械工程股份有限公司,廣運
信音企業股份有限公司,信音
九豪精密陶瓷股份有限公司,九豪
普誠科技股份有限公司,普誠
星寶國際股份有限公司,星寶國際
萬旭電業股份有限公司,萬旭
茂達電子股份有限公司,茂達
訊達電腦股份有限公司,訊達電腦
振曜科技股份有限公司,振曜
得利影視股份有限公司,得利影
耕興股份有限公司,耕興
頎邦科技股份有限公司,頎邦
驊宏資通股份有限公司,驊宏資
撼訊科技股份有限公司,撼訊
晉倫科技股份有限公司,晉倫
順發電腦股份有限公司,順發
松上電子股份有限公司,松上
禾昌興業股份有限公司,禾昌
欣技資訊股份有限公司,欣技
捷波資訊股份有限公司,捷波
華電聯網股份有限公司,華電網
久正光電股份有限公司,久正
昱泉國際股份有限公司,昱泉
統振股份有限公司,統振
大城地產股份有限公司,大城地產
信昌電子陶瓷股份有限公司,信昌電
安碁科技股份有限公司,安碁
立敦科技(股)有限公司,立敦
亞通利大能源股份有限公司,亞通
遊戲橘子數位科技股份有限公司,橘子
合晶科技股份有限公司,合晶
幃翔精密股份有限公司,幃翔
新潤興業股份有限公司,新潤
萬潤科技股份有限公司,萬潤
廣明光電股份有限公司,廣明
萬泰科技股份有限公司,萬泰科
育富電子股份有限公司,育富
詩肯股份有限公司,詩肯
凌泰科技股份有限公司,凌泰
天品聯合企業股份有限公司,天品
海韻電子工業股份有限公司,海韻電
台灣艾華電子工業股份有限公司,艾華
雷科股份有限公司,雷科
日揚科技股份有限公司,日揚
慶生電子股份有限公司,慶生
理銘開發股份有限公司,理銘
中國探針股份有限公司,中探針
豪勉科技股份有限公司,豪勉
富旺國際開發股份有限公司,富旺
岳豐科技股份有限公司,岳豐
晉泰科技股份有限公司,晉泰
上揚科技股份有限公司,上揚
旺矽科技股份有限公司,旺矽
茂綸股份有限公司,茂綸
全譜科技股份有限公司,全譜
研通科技股份有限公司,研通
系微股份有限公司,系微
旺玖科技股份有限公司,旺玖
高僑自動化科技股份有限公司,高僑
康呈生醫科技股份有限公司,康呈
驊訊電子企業股份有限公司,驊訊
松崗數位文創股份有限公司,松崗
易通展科技股份有限公司(原享承),易通展
立康生醫事業股份有限公司,立康
茂迪股份有限公司,茂迪
立端科技股份有限公司,立端
臺龍電子股份有限公司,臺龍
淇譽電子科技股份有限公司,淇譽電
沛波鋼鐵股份有限公司,沛波
百徽股份有限公司,百徽
久元電子股份有限公司,久元
普萊德科技股份有限公司,普萊德
富裔實業股份有限公司,富裔
方土昶股份有限公司,方土昶
泰詠電子股份有限公司,泰詠
倍微科技股份有限公司,倍微
台燿科技股份有限公司,台燿
元山科技工業股份有限公司,元山
安鈦克科技股份有限公司,安鈦克
胡連精密股份有限公司,胡連
佳邦科技股份有限公司,佳邦
元隆電子股份有限公司,元隆
良維科技股份有限公司,良維
沛亨半導體股份有限公司,沛亨
迅德興業股份有限公司,迅德
智基科技開發股份有限公司,智基
中國通訊多媒體集團有限公司,通訊-KY
晶焱科技股份有限公司,晶焱
韋僑科技股份有限公司,韋僑
詠昇電子股份有限公司,詠昇
京晨科技股份有限公司,京晨科
易發精機股份有限公司,易發
今展科技股份有限公司,今展科
大中積體電路股份有限公司,大中
廣錠科技股份有限公司,廣錠
藥華醫藥股份有限公司,藥華藥
紘康科技股份有限公司,紘康
益得生物科技股份有限公司,益得
神盾股份有限公司,神盾
威潤科技股份有限公司,威潤
大樹醫藥股份有限公司,大樹
宇智網通股份有限公司,宇智
保瑞藥業股份有限公司,保瑞
弘煜科技事業股份有限公司,弘煜科
點序科技股份有限公司,點序
互動國際數位股份有限公司,互動
環球晶圓股份有限公司,環球晶
生華生物科技股份有限公司,生華科
九齊科技股份有限公司,九齊
科懋生物科技股份有限公司,科懋
益安生醫股份有限公司,益安
雙邦實業股份有限公司,雙邦
惠光股份有限公司,惠光
聚和國際股份有限公司,聚和
中華精測科技股份有限公司,精測
